id,word,word_definition,antonyms,synonyms,example,relevance
63,Team,A group of people who work together to achieve a common goal.,"Individual, Solo, Lone, Alone","Group, Crew, Squad, Staff",Our soccer team won the championship.,5 class
64,Technology,"The application of scientific knowledge for practical purposes, especially in industry.","Antiquity, Obsolete, Old-fashioned, Outdated","Innovation, Invention, Science, Engineering",The latest technology has made our lives easier.,5 class
65,Telephone,A device used to transmit sound over distances by converting sound waves into electrical signals.,"Silence, Mute, Quiet, Hush","Phone, Cellphone, Mobile, Landline",I called my friend on the telephone.,5 class
66,Television,An electronic device used to receive and display television broadcasts.,"Radio, Newspaper, Magazine, Book","TV, Screen, Monitor, Display",We watched a movie on television.,5 class
67,Ten,The number equal to the sum of nine and one.,"Zero, One, Two, Three","10, Decade, X, Tenth",There are ten fingers on my hands.,5 class
68,Tent,"A portable shelter made of canvas, nylon, or other strong fabric stretched over poles or ropes.","House, Apartment, Mansion, Villa","Camping, Shelter, Canopy, Awning",We slept in a tent during our camping trip.,5 class
69,Thankful,Feeling or expressing gratitude or appreciation.,"Ungrateful, Ingrate, Unappreciative, Unthankful","Grateful, Appreciative, Obliged, Indebted",I am thankful for my family and friends.,5 class
70,Thick,Having a relatively great extent from one surface or side to the opposite; not thin.,"Thin, Light, Delicate, Fragile","Dense, Heavy, Solid, Sturdy",The book is very thick.,5 class
71,Thin,Having a relatively small distance between opposite sides or surfaces.,"Thick, Wide, Fat, Stout","Narrow, Slender, Lean, Skinny",She is very thin and petite.,5 class
72,Think,"To have a particular opinion, belief, or idea about something.","Disregard, Ignore, Neglect, Reject","Consider, Ponder, Reflect, Contemplate",I think we should go to the beach today.,5 class
73,Kingdom,"A country, state, or territory ruled by a king or queen","Republic, democracy, federation","Realm, domain, empire",The United Kingdom is a monarchy.,5 class
74,Kitchen,A room or area where food is prepared and cooked,"Dining room, living room, bedroom","Cuisine, cookery, galley",I love baking in the kitchen.,5 class
75,Kite,A bird of prey with a forked tail and long wings that hovers in the air,None,"Falcon, hawk, eagle",The kite soared high in the sky.,5 class
76,Knowledge,"Facts, information, and skills acquired through experience or education","Ignorance, unawareness, misunderstanding","Wisdom, expertise, understanding",Knowledge is power.,5 class
77,Knot,"A fastening made by tying a piece of string, rope, or cord","Untie, loosen, undo","Bow, tie, hitch",He tied a knot in the rope.,5 class
78,Yell,To shout loudly and aggressively,"Whisper, murmur, mumble","Scream, holler, bellow",She yelled at her brother for breaking her toy.,5 class
79,Yield,To produce or provide a result or gain,"Lose, forfeit, surrender","Generate, produce, bear",The new farming technique yielded more crops.,5 class
80,Yesterday,The day before today,"Tomorrow, future, next day","Last day, past day, bygone day",We went to the park yesterday.,5 class
81,Young,In an early stage of life or development,"Old, mature, adult","Juvenile, adolescent, immature",The young puppy was full of energy.,5 class
82,Ice,Frozen water in the form of solid crystals or pieces,"Liquid water, steam, vapor","Frozen water, glacier, frost",She put ice cubes in her drink to cool it down.,5 class
83,Ocean,A large body of saltwater that covers most of the earth's surface,"Land, shore, beach","Sea, deep, blue",The ocean is home to many different kinds of sea creatures.,5 class
84,Mountain,"A large natural elevation of the earth's surface, often with steep sides and a peak","Valley, plain, plateau","Summit, peak, mount",They hiked up the mountain to see the view from the top.,5 class
85,Curiosity,A strong desire to know or learn something,"Apathy, disinterest, indifference","Inquisitiveness, eagerness, interest",The child's curiosity led him to ask many questions about how things worked.,5 class
86,Diligence,Careful and persistent effort; hard work,"Laziness, idleness, inactivity","Industriousness, assiduity, application",The student's diligence paid off when he got an A on his test.,5 class
87,Enthusiasm,"Intense and eager enjoyment, interest, or approval","Apathy, disinterest, indifference","Eagerness, zeal, passion",The crowd's enthusiasm for the concert was contagious.,5 class
88,Frustration,"The feeling of being upset or annoyed, especially because of inability to change or achieve something","Satisfaction, contentment, fulfillment","Irritation, disappointment, discontent",The child's frustration grew as he struggled to solve the difficult math problem.,5 class
89,Generosity,The quality of being kind and generous,"Greed, selfishness, stinginess","Kindness, benevolence, philanthropy",The millionaire's generosity helped many people in need.,5 class
90,Happiness,The state of feeling or showing pleasure or contentment,"Sadness, sorrow, unhappiness","Joy, bliss, elation",The child's happiness was evident as she opened her birthday presents.,5 class
91,Imagination,The ability to form mental images or concepts of things that are not present in one's surroundings,"Reality, fact, truth","Creativity, fantasy, vision",The child's imagination ran wild as she played with her toys.,5 class
92,Kindness,"The quality of being friendly, generous, and considerate","Meanness, cruelty, unkindness","Friendliness, benevolence, compassion",The teacher's kindness made the new student feel welcome in the classroom.,5 class
93,Adventure,An exciting or unusual experience,"Boredom, routine, monotony","Expedition, journey, exploration",Going on a hike was an adventure for the kids.,5 class
94,Balance,A state of equilibrium or stability,"Instability, unbalance, imbalance","Stability, poise, equilibrium",The gymnast showed great balance on the balance beam.,5 class
95,Compassion,A feeling of deep sympathy and sorrow for another who is stricken by misfortune,"Indifference, cruelty, apathy","Empathy, kindness, understanding",The nurse showed great compassion for the sick child.,5 class
96,Determination,Firmness of purpose; resoluteness,"Indecision, irresolution, uncertainty","Perseverance, resolve, persistence",The athlete's determination helped him win the race.,5 class
97,Empathy,The ability to understand and share the feelings of another,"Apathy, indifference, insensitivity","Compassion, sympathy, understanding",The child showed empathy for his friend who was upset.,5 class
98,Faith,Complete trust or confidence in someone or something,"Doubt, distrust, suspicion","Trust, belief, confidence",The family's faith helped them get through a difficult time.,5 class
99,Grit,Courage and resolve; strength of character,"Weakness, cowardice, timidity","Perseverance, determination, tenacity",The soldier showed great grit in the face of danger.,5 class
100,Honesty,The quality of being truthful and trustworthy,"Dishonesty, deceit, falsehood","Truthfulness, integrity, sincerity",The boy's honesty earned him the trust of his parents.,5 class
101,Imagination,The ability to form mental images or concepts of things that are not present in one's surroundings,"Reality, fact, truth","Creativity, fantasy, vision",The child's imagination ran wild as she played with her toys.,5 class
102,Joy,A feeling of great pleasure and happiness,"Sadness, misery, despair","Delight, happiness, ecstasy",The children were filled with joy as they opened their presents.,5 class
103,Kindness,"The quality of being friendly, generous, and considerate","Meanness, cruelty, unkindness","Friendliness, benevolence, compassion",The teacher's kindness made the new student feel welcome in the classroom.,5 class
104,Learning,"The acquisition of knowledge or skills through study, experience, or being taught","Ignorance, incompetence, stupidity","Education, study, knowledge",The child's learning was aided by her teacher's guidance.,5 class
105,Motivation,The reason or reasons one has for acting or behaving in a particular way,"Demotivation, apathy, laziness","Drive, incentive, inspiration",The coach's motivation helped the team win the game.,5 class
106,Nurture,To care for and encourage the growth or development of someone or something,"Neglect, abandon, harm","Care, foster, nourish",The mother's nurture helped her child grow into a healthy adult.,5 class
107,Optimism,Hopefulness and confidence about the future,"Pessimism, negativity, despair","Positivity, confidence, cheerfulness",The child's optimism helped her overcome challenges.,5 class
108,Perseverance,Persistence in doing something despite difficulty or delay in achieving success,"Giving up, quitting, surrendering","Determination, persistence, tenacity",The child's perseverance helped her learn to ride a bike.,5 class
109,Question,A sentence worded or expressed so as to elicit information,"Answer, solution, reply","Inquiry, query, interrogation",The teacher asked the students a question about the lesson.,5 class
1594,Apple,A round fruit with red or green skin and white flesh,"Orange, lemon, grapefruit, lime","Fruit, pomaceous fruit, juicy fruit, crisp fruit",The student packed an apple in her lunchbox.,5 class
1595,Ant,"A small insect that lives in organized colonies, often underground","Beetle, ladybug, butterfly, moth","Insect, worker, queen, soldier",The student saw an ant crawling on the sidewalk.,5 class
1596,Alphabet,"The set of letters used to write a language, arranged in a specific order","Numbers, symbols, punctuation, emojis","Letters, ABCs, character set, script",The student learned the alphabet in kindergarten.,5 class
